city,hotel_name,address,rating,review_count,price
Delhi,Super Hotel O Diamond Home Stay,"Mayur Vihar, Delhi",4.9,522,₹1045
Delhi,Super Hotel O Silver Key,"Ajay enclave Ashok Nagar near Subash Nagar metro station New Delhi null, Delhi",4.7,104,₹731
Mumbai,Hotel O Royal Grand Near Chhatrapati Shivaji International Airport,"Near Sakinaka Metro Station, Andheri East, Mumbai",3.6,40,₹1342
Mumbai,Hotel O by OYO paradise,"Near Airport Road Metro Station, Andheri, Mumbai",4,1,
Mumbai,Collection O by OYO Suncity Premiere,"Near Seepz, Andheri East, Mumbai",4.6,6,₹4883
Mumbai,Hotel O Blue Pearl Residency Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar, Mumbai",3.5,397,₹1198
Mumbai,Super Collection O Airport Metro Andheri East,"Andheri East, Mumbai",4.3,1088,₹1635
Mumbai,Hotel O Ak Palace Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Sainaka, Mumbai",3.1,101,₹1061
Mumbai,Hotel O Rana Residency Near Western Express Highway Metro Station,"Tolany Naka, Sher-e-Punjab Colony, Mumbai",3.9,174,₹979
Mumbai,Super Capital O PARK RESIDENCY,"Mumbai, Mumbai",4,100,₹1329
Mumbai,Capital O Hotel Konar Inn,"Navi Mumbai, Mumbai",3.9,305,₹1339
Mumbai,Super Collection O Asalpha near International Airport,"Near Asalpha Metro Station, Dhumai Estate, Mumbai",4.2,1309,₹1652
Mumbai,Hotel O Golden Nest Near Chhatrapati Shivaji International Airport,"Near Bajsons Industries, Andheri East, Mumbai",4.2,616,₹1534
Mumbai,Super Townhouse Bombay Exhibition Centre Goregaon,"Ram Mandir Road,Goregaon West, Mumbai",4.8,1708,₹2306
Mumbai,Hotel O Balaji Suite,"Near Balaji Business Park, Marol Naka, Mumbai",5,1,₹1817
Mumbai,Super Hotel O Divine Residency Near Phoenix Marketcity,"Near Chirag Nagar Police Station, LBS Marg, Mumbai",5,131,₹3639
